timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date,body_pct,high_pct
1609308000000,13.88,31.415,9.57,10.811,556259.354,1609311599999,7473429.88781700,29468,236746.98500000,3233772.09411100,0,2020-12-30 06:00:00,-22.11095100864554,126.33285302593657
1609311600000,10.855,12.479,10.403,10.996,119290.597,1609315199999,1351628.40804800,6343,46845.62000000,535897.00787900,0,2020-12-30 07:00:00,1.298940580377706,14.960847535697825
1609329600000,7.056,7.752,6.99,7.477,53038.479,1609333199999,390343.67504400,1647,27315.23200000,202427.24505200,0,2020-12-30 12:00:00,5.966553287981863,9.863945578231288
1609336800000,6.433,7.384,6.424,6.957,73633.486,1609340399999,521666.20217300,1869,36192.04400000,256000.06310300,0,2020-12-30 14:00:00,8.145499766827298,14.783149385978556
1609344000000,6.665,7.453,6.664,6.926,23389.249,1609347599999,164917.06304500,862,11842.71800000,83615.29782300,0,2020-12-30 16:00:00,3.9159789947486887,11.822955738934738
1609347600000,6.934,7.701,6.934,7.618,19314.424,1609351199999,140213.55055100,765,10324.14000000,75162.47607300,0,2020-12-30 17:00:00,9.864436111912319,11.061436400346112
1609351200000,7.618,8.305,7.5,8.119,47821.901,1609354799999,385520.70505500,1996,20334.32700000,163431.42500900,0,2020-12-30 18:00:00,6.576529272774999,9.018114990811227
1609354800000,8.119,9.328,7.6,9.319,55307.586,1609358399999,471328.48406400,1865,26890.44800000,230075.93280300,0,2020-12-30 19:00:00,14.780145338095837,14.890996428131539
1609358400000,9.327,10.0,9.0,9.8,63503.73,1609361999999,608365.08159400,2681,28165.16600000,272108.54729000,0,2020-12-30 20:00:00,5.071298381044288,7.215610592902327
1609387200000,7.554,8.255,7.554,8.067,10831.136,1609390799999,85750.16354200,504,5498.85100000,43560.87240700,0,2020-12-31 04:00:00,6.791104050833993,9.279851734180573
1609398000000,6.808,7.374,6.71,7.3,41212.894,1609401599999,284496.11111000,1641,18104.57800000,124702.38893400,0,2020-12-31 07:00:00,7.226792009400705,8.313748531139833
1609470000000,5.899,6.203,5.8,6.196,11138.127,1609473599999,67089.27883200,442,5876.71100000,35678.03312200,0,2021-01-01 03:00:00,5.034751652822508,5.153415833192071
