timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date,body_pct,high_pct
1645444800000,1.0,18.9995,1.0,4.9785,9086783.49,1645448399999,46977168.06599400,153996,4531014.66000000,23592871.02044800,0,2022-02-21 12:00:00,397.85,1799.95
1645448400000,4.9794,9.3888,4.9756,7.3007,14808902.83,1645451999999,102551409.56263100,310530,7819358.66000000,53807489.33674300,0,2022-02-21 13:00:00,46.61806643370687,88.5528376912881
1645452000000,7.3012,8.59,7.2303,8.0114,8426033.36,1645455599999,67180446.00715100,212191,4329085.71000000,34581265.75732700,0,2022-02-21 14:00:00,9.72716813674465,17.651892839533232
1645466400000,6.5719,7.456,6.5577,7.1806,3240629.21,1645469999999,23010590.21635100,68008,1678018.97000000,11919723.92576700,0,2022-02-21 18:00:00,9.262161627535411,13.452730564981207
1645502400000,5.3375,6.6,5.2531,6.4891,1709803.64,1645505999999,10094088.93973400,28813,943619.07000000,5574619.39059400,0,2022-02-22 04:00:00,21.57564402810303,23.65339578454331
1645506000000,6.4879,7.8,6.0654,7.2202,3666328.04,1645509599999,25316986.30203500,72679,1908987.21000000,13205335.13837200,0,2022-02-22 05:00:00,11.287165338553313,20.22380122998197
1645563600000,4.531,5.1989,4.4212,5.1529,1777678.56,1645567199999,8712138.04063500,20517,1029970.38000000,5044426.38961700,0,2022-02-22 21:00:00,13.72544692120945,14.740675347605395
1645621200000,4.9793,5.5329,4.963,5.1985,2383956.55,1645624799999,12745865.50935300,32526,1342950.04000000,7187542.94937400,0,2022-02-23 13:00:00,4.402225212379247,11.118028638563642
1645664400000,4.5412,4.92,4.5412,4.7495,395996.22,1645667999999,1890764.46625500,5604,206590.00000000,985980.33659200,0,2022-02-24 01:00:00,4.586893332158909,8.341407557473795
1645992000000,3.1768,3.5941,3.13,3.2747,843941.81,1645995599999,2821776.76665100,8403,408266.20000000,1368026.10820900,0,2022-02-27 20:00:00,3.081717451523549,13.135859984890455
1646017200000,3.243,3.54,3.205,3.54,164351.93,1646020799999,556829.36163200,2129,112232.63000000,381458.09381800,0,2022-02-28 03:00:00,9.158186864014805,9.158186864014805
1646060400000,3.6571,3.969,3.6504,3.7513,775547.07,1646063999999,2961689.10314100,8108,444053.15000000,1698248.72268600,0,2022-02-28 15:00:00,2.5758114352902655,8.52861556971371
1646366400000,2.9646,3.18,2.9013,3.1147,232786.79,1646369999999,712536.82971800,2162,120781.56000000,370302.97490700,0,2022-03-04 04:00:00,5.063077649598601,7.265735681036237
1646629200000,2.3263,2.4819,2.322,2.4618,140174.78,1646632799999,338682.15707600,843,75426.03000000,182449.11763800,0,2022-03-07 05:00:00,5.824700167648214,6.688733181446942
1646737200000,2.3568,3.25,2.3553,3.1196,2985109.87,1646740799999,8890305.76296300,27647,1581637.95000000,4706660.24971000,0,2022-03-08 11:00:00,32.365919891378155,37.89884589273593
1646748000000,2.9158,3.57,2.9079,3.389,5601883.3,1646751599999,18779912.13061000,67567,2969850.81000000,9961311.52003400,0,2022-03-08 14:00:00,16.22882227861993,22.436381096097122
1646751600000,3.3892,3.88,3.2288,3.8795,4474802.13,1646755199999,15857416.16942700,55211,2494376.47000000,8863569.84915500,0,2022-03-08 15:00:00,14.466540776584443,14.481293520594821
1646787600000,3.2548,3.6466,3.2519,3.6156,975986.97,1646791199999,3351157.51415100,11265,504010.75000000,1727371.19175700,0,2022-03-09 01:00:00,11.08516652328869,12.0376059972963
1646805600000,3.3825,3.8,3.3334,3.6856,1738752.7,1646809199999,6359218.96767900,20305,908888.38000000,3319729.19158900,0,2022-03-09 06:00:00,8.960827790096088,12.342941611234295
1646809200000,3.673,4.46,3.673,4.28,5086642.47,1646812799999,21060438.57128800,67090,2797569.56000000,11561978.66881000,0,2022-03-09 07:00:00,16.526000544514027,21.42662673563844
1646816400000,4.275,4.595,4.1475,4.5132,2669242.84,1646819999999,11570623.17590400,36970,1426255.63000000,6195133.53862600,0,2022-03-09 09:00:00,5.571929824561402,7.485380116959049
