timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date,body_pct,high_pct
1634817600000,1.0,100.0,1.0,20.8153,11068697.62,1634821199999,280466909.80690500,490797,5608129.10000000,145426862.77555200,0,2021-10-21 12:00:00,1981.53,9900.0
1634821200000,20.815,23.1907,20.6334,21.6,3739391.46,1634824799999,83477275.91165200,182173,2059868.86000000,46061240.23588000,0,2021-10-21 13:00:00,3.7713187605092484,11.41340379533989
1634832000000,19.7739,21.4688,19.3759,20.539,1183428.35,1634835599999,24410664.46994400,62417,624116.70000000,12876274.66699400,0,2021-10-21 16:00:00,3.869241778303725,8.571399673306734
1634842800000,21.0824,22.9477,20.9419,22.9009,1306322.24,1634846399999,28463674.55551100,71159,755316.74000000,16501045.61042600,0,2021-10-21 19:00:00,8.625678290896674,8.847664402534821
1634846400000,22.9154,28.82,22.4357,25.5876,5176303.86,1634849999999,131729424.91649000,242910,2955793.00000000,75168577.43834700,0,2021-10-21 20:00:00,11.66115363467361,25.7669514824092
1634889600000,20.2033,22.8,20.11,22.1178,905521.84,1634893199999,19633022.52675700,42080,505852.57000000,10973088.09975600,0,2021-10-22 08:00:00,9.476174684333749,12.85285077190361
1634936400000,16.82,18.7305,16.421,18.6149,796957.1,1634939999999,13947836.18180400,27812,442044.92000000,7760762.36282600,0,2021-10-22 21:00:00,10.671224732461345,11.358501783590958
1635102000000,11.8516,13.0553,11.8223,12.7999,404210.41,1635105599999,5028918.84317200,10024,232290.31000000,2891817.23440800,0,2021-10-24 19:00:00,8.001451280839715,10.156434574234714
1635130800000,12.4583,13.35,12.4579,13.1599,211994.0,1635134399999,2758575.13599600,4172,98247.55000000,1283243.01520100,0,2021-10-25 03:00:00,5.631586974145757,7.15747734442099
1635152400000,13.118,14.3785,13.1,13.8892,501419.28,1635155999999,6944190.05103500,14907,301438.45000000,4178111.97239600,0,2021-10-25 09:00:00,5.878944961122125,9.608934288763534
1635156000000,13.889,19.22,13.889,17.5802,4580665.77,1635159599999,79452006.65988300,150113,2529029.47000000,43606616.00054200,0,2021-10-25 10:00:00,26.57642738858091,38.38289293685651
1635159600000,17.576,19.5526,17.2505,18.2226,2504121.72,1635163199999,46342987.91604400,95945,1325216.53000000,24554149.29442300,0,2021-10-25 11:00:00,3.678880291306323,11.24601729631316
1635174000000,15.4246,17.6619,15.4245,17.3218,1400608.03,1635177599999,23406907.19788700,53256,774736.86000000,12922889.68042600,0,2021-10-25 15:00:00,12.299832734722454,14.504752149164318
1635408000000,11.4033,12.6225,11.3999,12.4788,264258.2,1635411599999,3221325.26747100,7197,167692.57000000,2046747.02182400,0,2021-10-28 08:00:00,9.431480360948145,10.691641893136204
1635487200000,11.6558,14.8,11.6336,14.0271,967046.11,1635490799999,13367732.67215600,29319,572411.33000000,7880215.61556200,0,2021-10-29 06:00:00,20.34437790627843,26.97541138317406
1635508800000,11.9677,13.5,11.93,12.51,416963.35,1635512399999,5285467.35274900,11256,221414.66000000,2808694.92592000,0,2021-10-29 12:00:00,4.531363586988302,12.803629770131264
